#Wait time:    aussen: 2.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler	SM XPS1	CHX	CHXErr	CHY	CHYErr	MessZeit(s)	ZeitproPunkt(s)
NaN	4.2000000E+0	1.9531400E-3	1.1641532E-11	0.0000000E+0	0.0000000E+0	1.8700000E-1	1.9910000E+0
NaN	4.2010000E+0	1.8921000E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.3000000E-1	8.3200000E-1
NaN	4.2020000E+0	1.8921000E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2600000E-1	8.2900000E-1
NaN	4.2030000E+0	1.8310600E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2600000E-1	8.2800000E-1
NaN	4.2040000E+0	1.7700300E-3	1.1641532E-11	0.0000000E+0	0.0000000E+0	1.2800000E-1	8.3200000E-1
NaN	4.2050000E+0	1.7089900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2100000E-1	8.2400000E-1
NaN	4.2060000E+0	1.6479600E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1500000E-1	8.1900000E-1
NaN	4.2070000E+0	1.6479600E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.1700000E-1
NaN	4.2080000E+0	1.5869200E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.2000000E-1
NaN	4.2090000E+0	1.5869200E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	8.1500000E-1
NaN	4.2100000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	8.1400000E-1
NaN	4.2110000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2120000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1900000E-1	8.2100000E-1
NaN	4.2130000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.2000000E-1
NaN	4.2140000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1900000E-1	8.2200000E-1
NaN	4.2150000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2160000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.1900000E-1
NaN	4.2170000E+0	1.5258900E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1500000E-1
NaN	4.2180000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2100000E-1	8.2500000E-1
NaN	4.2190000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1300000E-1	8.1600000E-1
NaN	4.2200000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2210000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1600000E-1
NaN	4.2220000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.1900000E-1
NaN	4.2230000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2240000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1500000E-1
NaN	4.2250000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2260000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1500000E-1	8.1800000E-1
NaN	4.2270000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1800000E-1	8.2100000E-1
NaN	4.2280000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	8.1500000E-1
NaN	4.2290000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	8.1500000E-1
NaN	4.2300000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1700000E-1
NaN	4.2310000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1600000E-1
NaN	4.2320000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1000000E-1	8.1300000E-1
NaN	4.2330000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.0900000E-1	8.1100000E-1
NaN	4.2340000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2000000E-1	8.2300000E-1
NaN	4.2350000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2000000E-1	8.2400000E-1
NaN	4.2360000E+0	1.4648500E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1400000E-1	8.1800000E-1
