#LockIn1 SR830 Sensitivity: 1.000000E-2V
#Wait time:    aussen: 2.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler	SM XPS1	CHX	CHXErr	CHY	CHYErr	MessZeit(s)	ZeitproPunkt(s)
NaN	4.1000000E+0	3.2902000E-5	1.8189894E-13	-2.8610400E-6	1.6077747E-14	2.2300000E-1	1.8260000E+0
NaN	4.1010000E+0	3.2425200E-5	1.8189894E-13	-2.8610400E-6	1.6077747E-14	1.5600000E-1	8.6000000E-1
NaN	4.1020000E+0	3.2711280E-5	1.1679167E-7	-2.8610400E-6	1.6077747E-14	1.4300000E-1	8.4600000E-1
NaN	4.1030000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.5800000E-1	8.6200000E-1
NaN	4.1040000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.5400000E-1	8.5600000E-1
NaN	4.1050000E+0	3.2425200E-5	1.8189894E-13	-2.8610400E-6	1.6077747E-14	1.6000000E-1	8.6400000E-1
NaN	4.1060000E+0	3.2425200E-5	1.8189894E-13	-2.8610400E-6	1.6077747E-14	1.5300000E-1	8.5700000E-1
NaN	4.1070000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.4600000E-1	8.4800000E-1
NaN	4.1080000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.5000000E-1	8.5300000E-1
NaN	4.1090000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.5000000E-1	8.5300000E-1
NaN	4.1100000E+0	3.2902000E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.4900000E-1	8.5200000E-1
NaN	4.1110000E+0	3.2425200E-5	1.8189894E-13	-2.7656720E-6	9.5368000E-8	1.5200000E-1	8.5500000E-1
NaN	4.1120000E+0	3.2806640E-5	9.5360000E-8	-2.3842000E-6	0.0000000E+0	1.4800000E-1	8.5100000E-1
NaN	4.1130000E+0	3.2902000E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.4000000E-1	8.4400000E-1
NaN	4.1140000E+0	3.2425200E-5	1.8189894E-13	-2.3842000E-6	0.0000000E+0	1.4300000E-1	8.4600000E-1
NaN	4.1150000E+0	3.2425200E-5	1.8189894E-13	-2.6703040E-6	1.1680147E-7	1.5000000E-1	8.5200000E-1
